JUDET,UAT,COD SIRUTA,NR. Birou electoral,Nr SV,Sediu SV,Adresa SV,Adresa SV descriptivă,Localitate componentă / Sat aparţinător,Cod Arteră,Arteră,Număr imobil / Alfabetic,Observaţii
B,BUCUREŞTI SECTORUL 1,179141,42,19,LICEUL TEORETIC ”C-TIN BRÂNCOVEANU”,"Loc. BUCUREŞTI SECTORUL 1,  Strada Pajurei , Nr. 9",Str. - PAJUREI - 9; CP. 013152,BUCUREŞTI SECTORUL 1,58539,Strada Hrisovului,numere impare nr. 5 A -9# numere pare nr. 18 A -34# nr. 46# nr. 82# nr. 204# nr. 214# nr. 54 A#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60121,Intrarea Presei (Strada Presei),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,20,LICEUL TEORETIC ”C-TIN BRÂNCOVEANU”,"Loc. BUCUREŞTI SECTORUL 1,  Strada Pajurei , Nr. 9",Str - PAJUREI - 9; CP 013152,BUCUREŞTI SECTORUL 1,59673,Strada Pajurei,numere impare nr. 1 -5# numere pare nr. 0 -10#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59785,Strada Pecetei (Intrarea Pecetei) (D),numere impare nr. 3 -5# numere pare nr. 4 -8#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59785,Strada Pecetei (Intrarea Pecetei),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,21,LICEUL TEORETIC ”C-TIN BRÂNCOVEANU”,"Loc. BUCUREŞTI SECTORUL 1,  Strada Pajurei , Nr. 9",Str - PAJUREI - 9; CP 013152,BUCUREŞTI SECTORUL 1,56541,Strada Băiculeşti,numere impare nr. 1 -17# numere pare nr. 4 -18#,
B,BUCUREŞTI SECTORUL 1,179141,42,22,ȘCOALA GIMNAZIALĂ NR.178,"Loc. BUCUREŞTI SECTORUL 1,  Strada Dridu , Nr. 2",Str. - DRIDU - 2; CP. 013202,BUCUREŞTI SECTORUL 1,56540,Aleea Băiculeşti,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56541,Strada Băiculeşti,numere impare nr. 19 -21 A#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58061,Aleea Făurei,numere impare nr. 1 -5# numere pare nr. 2 -8# nr. 14# nr. 21#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58062,Strada Făurei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,23,ŞCOALA GIMNAZIALĂ NR.178,"Loc. BUCUREŞTI SECTORUL 1,  Strada Dridu , Nr. 2",Str - DRIDU - 2; CP 013202,BUCUREŞTI SECTORUL 1,56541,Strada Băiculeşti,numere impare nr. 23 -29# nr. 49# nr. 103# nr. 117#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57880,Intrarea Dridu,numere impare nr. 1 -15# numere pare nr. 0 -8#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57881,Strada Dridu,numere impare nr. 1 -17# numere pare nr. 2 -24#,
B,BUCUREŞTI SECTORUL 1,179141,42,24,ŞCOALA GIMNAZIALĂ NR.178,"Loc. BUCUREŞTI SECTORUL 1,  Strada Dridu , Nr. 2",Str - DRIDU - 2; CP 013202,BUCUREŞTI SECTORUL 1,59672,Aleea Pajurei,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59673,Strada Pajurei,numere impare nr. 17 -23# numere pare nr. 12 -26# nr. 11#,
B,BUCUREŞTI SECTORUL 1,179141,42,25,ŞCOALA GIMNAZIALĂ SPECIALĂ NR.8,"Loc. BUCUREŞTI SECTORUL 1,  Strada Victor Daimaca (Strada Justin Georgescu) , Nr. 2",Str - VICTOR DAIMACA - 2; CP 013278,BUCUREŞTI SECTORUL 1,57484,Strada Cornăţel,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,57953,Strada Elanului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58002,Strada Epureşti,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,58740,Strada Jiului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,59459,Strada Neatârnării (Strada Neatîrnării),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,1007551,Bulevardul Petroliştilor,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,26,ŞCOALA GIMNAZIALĂ SPECIALĂ NR.8,"Loc. BUCUREŞTI SECTORUL 1,  Strada Victor Daimaca (Strada Justin Georgescu) , Nr. 2",Str - VICTOR DAIMACA - 2; CP 013278,BUCUREŞTI SECTORUL 1,58717,Strada Izbiceni,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,60872,Şoseaua Străuleşti,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,27,ȘCOALA GIMNAZIALĂ SPECIALĂ NR.8,"Loc. BUCUREŞTI SECTORUL 1,  Strada Victor Daimaca (Strada Justin Georgescu) , Nr. 2",Str. - VICTOR DAIMACA - 2; CP. 013278,BUCUREŞTI SECTORUL 1,56224,Strada Acumulatorului,integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,56711,Strada Bârgăului (Strada Bîrgăului),integral#,
B,BUCUREŞTI SECTORUL 1,179141,42,,,,,,62821,Strada Bogota,integral#,
